Frame;Timestamp;Real Hand Position;Real Hand Rotation;Virtual Hand Position;Virtual Hand Rotation;Target;Redirection Technique;Target Real Position;Target Real Rotation;Target Virtual Position;Target Virtual Rotation;Body Position;Body Rotation;
987;2021/06/20 22:12:30 335;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
988;2021/06/20 22:12:30 348;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
989;2021/06/20 22:12:30 363;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
990;2021/06/20 22:12:30 377;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
991;2021/06/20 22:12:30 390;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
992;2021/06/20 22:12:30 403;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
993;2021/06/20 22:12:30 418;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
994;2021/06/20 22:12:30 437;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
995;2021/06/20 22:12:30 453;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
996;2021/06/20 22:12:30 467;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
997;2021/06/20 22:12:30 480;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
998;2021/06/20 22:12:30 494;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
999;2021/06/20 22:12:30 516;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1000;2021/06/20 22:12:30 534;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1001;2021/06/20 22:12:30 557;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1002;2021/06/20 22:12:30 576;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1003;2021/06/20 22:12:30 597;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1004;2021/06/20 22:12:30 614;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1005;2021/06/20 22:12:30 625;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1006;2021/06/20 22:12:30 641;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1007;2021/06/20 22:12:30 656;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1008;2021/06/20 22:12:30 670;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1009;2021/06/20 22:12:30 684;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1010;2021/06/20 22:12:30 696;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1011;2021/06/20 22:12:30 707;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1012;2021/06/20 22:12:30 720;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1013;2021/06/20 22:12:30 732;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1014;2021/06/20 22:12:30 744;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1015;2021/06/20 22:12:30 757;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1016;2021/06/20 22:12:30 769;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1017;2021/06/20 22:12:30 781;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1018;2021/06/20 22:12:30 792;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1019;2021/06/20 22:12:30 804;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1020;2021/06/20 22:12:30 817;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1021;2021/06/20 22:12:30 829;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1022;2021/06/20 22:12:30 842;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1023;2021/06/20 22:12:30 854;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1024;2021/06/20 22:12:30 867;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1025;2021/06/20 22:12:30 880;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1026;2021/06/20 22:12:30 895;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1027;2021/06/20 22:12:30 909;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1028;2021/06/20 22:12:30 923;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1029;2021/06/20 22:12:30 935;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1030;2021/06/20 22:12:30 950;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1031;2021/06/20 22:12:30 964;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1032;2021/06/20 22:12:30 976;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1033;2021/06/20 22:12:30 988;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1034;2021/06/20 22:12:31 1;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1035;2021/06/20 22:12:31 14;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1036;2021/06/20 22:12:31 26;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1037;2021/06/20 22:12:31 41;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1038;2021/06/20 22:12:31 53;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1039;2021/06/20 22:12:31 70;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1040;2021/06/20 22:12:31 82;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1041;2021/06/20 22:12:31 94;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1042;2021/06/20 22:12:31 107;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1043;2021/06/20 22:12:31 119;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1044;2021/06/20 22:12:31 131;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
1045;2021/06/20 22:12:31 142;(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);(-0.3, 0.7, 0.2);(0.0, 0.0, 0.0, 1.0);VirtualCube (HR_Toolkit.RedirectionObject);InterpolationWithRotation;(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.2, 0.6, 0.8);(0.0, 0.0, 0.0, 1.0);(-0.1, 0.9, 0.0);(0.0, 0.0, 0.0, 1.0);
